場,レース,買い目,推定確率%,オッズ(取得時),回収率%
桐生,7R,2-3-1,9.42,94.7,891.9
宮島,5R,4-1-3,9.02,82.6,745.3
宮島,11R,2-1-3,11.53,54.9,632.8
鳴門,11R,4-1-3,6.31,92.4,582.7
宮島,6R,2-1-4,6.05,96.0,580.4
宮島,11R,3-2-1,6.13,92.3,565.4
宮島,3R,3-1-2,6.69,79.8,533.6
津,4R,5-1-2,5.39,93.3,502.7
尼崎,9R,1-5-3,7.24,65.4,473.5
鳴門,1R,1-2-4,6.28,74.9,470.7
三国,3R,1-4-3,7.12,63.8,454.4
鳴門,1R,1-4-2,8.49,52.2,443.1
津,4R,2-1-5,7.06,62.2,439.0
平和島,9R,2-3-1,5.00,86.4,431.7
宮島,6R,4-1-2,4.67,92.4,431.2
唐津,4R,3-1-2,4.27,99.0,422.4
蒲郡,9R,4-1-3,5.00,84.0,420.1
蒲郡,4R,3-1-4,8.26,49.8,411.4
蒲郡,11R,1-4-3,11.88,34.6,411.0
丸亀,2R,4-1-2,4.59,89.6,410.8
鳴門,1R,1-2-5,4.29,95.1,408.3
鳴門,11R,4-1-2,9.41,43.1,405.7
三国,11R,4-1-2,4.22,95.9,405.1
宮島,10R,3-1-4,6.51,62.1,404.3
桐生,5R,5-1-4,7.20,55.9,402.3
尼崎,9R,1-5-4,4.48,89.8,401.9
津,9R,1-4-2,8.27,48.4,400.4
桐生,8R,3-1-2,6.62,60.1,397.7
丸亀,8R,1-4-2,8.24,47.8,394.0
宮島,10R,3-1-2,4.42,88.5,391.4
三国,9R,4-1-2,5.25,74.1,389.4
びわこ,1R,1-6-2,4.18,92.6,387.0
宮島,9R,1-3-5,4.17,92.1,383.9
三国,10R,1-5-2,14.16,26.9,380.9
桐生,7R,2-1-3,10.52,35.4,372.3
多摩川,6R,4-1-3,7.64,48.5,370.4
宮島,9R,1-3-2,4.19,87.9,368.0
三国,7R,2-1-3,4.39,83.4,366.5
桐生,5R,5-4-1,3.68,99.2,365.0
多摩川,7R,4-1-3,9.42,38.4,361.7
唐津,5R,4-2-1,8.58,41.9,359.4
平和島,10R,4-1-2,4.86,73.7,358.3
丸亀,11R,1-4-2,8.03,44.4,356.3
丸亀,12R,4-1-2,5.05,70.1,354.3
宮島,8R,1-6-2,4.57,77.2,352.9
