date,stadium,race,combo,prob%,odds_at_scan,result_combo,hit,payout,pnl
20260707,18,11,4-1-3,6.57,97.6,1-4-2,×,0,-100
20260707,05,7,4-1-2,7.68,77.6,4-2-5,×,0,-100
20260707,05,7,4-2-1,7.54,76.3,4-2-5,×,0,-100
20260707,10,11,4-1-3,5.77,98.5,6-2-1,×,0,-100
20260707,12,2,2-1-3,7.97,64.1,1-2-3,×,0,-100
20260707,10,7,1-4-2,6.57,77.8,1-3-2,×,0,-100
20260707,20,3,1-2-4,5.29,93.4,1-3-2,×,0,-100
20260707,18,11,4-1-2,5.03,90.0,1-4-2,×,0,-100
20260707,12,2,2-1-4,4.61,97.2,1-2-3,×,0,-100
20260707,12,12,3-1-2,5.0,86.7,2-3-1,×,0,-100
20260707,08,7,1-2-3,5.64,75.2,6-4-2,×,0,-100
20260707,20,2,3-4-1,6.98,59.7,2-1-6,×,0,-100
20260707,01,7,1-4-3,6.58,63.2,1-3-5,×,0,-100
20260707,18,1,2-1-4,5.57,72.1,1-3-4,×,0,-100
20260707,12,11,3-2-1,5.12,77.6,2-4-5,×,0,-100
20260707,20,3,2-1-4,6.46,61.5,1-3-2,×,0,-100
20260707,20,2,3-1-4,6.73,57.1,2-1-6,×,0,-100
20260707,13,2,3-1-2,4.07,94.3,1-2-4,×,0,-100
20260707,12,11,2-3-1,4.71,80.9,2-4-5,×,0,-100
20260707,20,12,3-1-5,5.62,67.8,1-3-2,×,0,-100
20260707,01,6,2-1-3,4.76,78.8,1-3-2,×,0,-100
20260707,13,3,2-3-1,3.95,94.2,2-1-3,×,0,-100
20260707,05,10,4-1-3,5.0,74.2,3-1-6,×,0,-100
20260707,04,1,2-1-5,4.4,83.8,6-2-3,×,0,-100
20260707,24,12,3-2-1,3.72,99.0,1-2-3,×,0,-100
20260707,12,8,4-1-2,5.5,66.9,1-3-4,×,0,-100
20260707,11,10,2-1-3,6.76,54.3,3-1-4,×,0,-100
20260707,04,2,1-5-2,3.93,92.4,1-5-2,○,9240,9140
20260707,04,2,1-4-5,5.13,69.8,1-5-2,×,0,-100
20260707,18,7,4-1-3,6.32,56.5,3-5-4,×,0,-100
20260707,02,12,3-1-2,5.23,67.9,1-3-5,×,0,-100
20260707,20,2,4-3-2,4.01,87.2,2-1-6,×,0,-100
20260707,20,2,1-4-3,3.85,90.7,2-1-6,×,0,-100
20260707,08,10,1-2-5,5.04,68.9,3-1-2,×,0,-100
20260707,12,2,3-1-2,3.78,91.8,1-2-3,×,0,-100
20260707,24,7,2-1-4,4.12,83.6,4-1-5,×,0,-100
20260707,02,12,2-1-3,4.57,75.2,1-3-5,×,0,-100
20260707,18,7,4-3-1,7.22,47.6,3-5-4,×,0,-100
20260707,05,3,3-1-2,5.18,65.9,1-5-3,×,0,-100
20260707,05,9,3-1-2,5.76,58.7,3-5-6,×,0,-100
20260707,08,5,3-1-2,9.05,37.3,4-5-6,×,0,-100
20260707,08,5,3-1-4,3.66,92.2,4-5-6,×,0,-100
20260707,13,9,2-3-1,3.86,87.0,3-1-5,×,0,-100
20260707,20,12,3-1-4,7.82,42.9,1-3-2,×,0,-100
20260707,10,7,1-2-4,7.44,44.9,1-3-2,×,0,-100
20260707,05,1,1-4-2,5.89,56.1,4-1-5,×,0,-100
